year,n,accuracy,kappa,macro_f1,mcc,rmse,mae
2020,6288,0.8053435114503816,0.5517994729568343,0.3135038363171355,0.5653449931132183,0.676298110939289,0.2732188295165394
2021,6482,0.8120950323974082,0.5276462489161247,0.3067946588445515,0.5430585106090394,0.6780373513306215,0.265658747300216
2022,7049,0.809050929209817,0.44452236859199024,0.2917596927038058,0.47736904783190987,0.6537862921611668,0.2523762235778125
2023,7468,0.8208355650776648,0.4847697929681035,0.3086339153581086,0.5059260773858247,0.6265847610455465,0.23647562935190145
2024,7828,0.856412876852325,0.5296811446423639,0.3445415684922707,0.5424600215742958,0.5418132278170277,0.18421052631578946
2025,7898,0.8489491010382375,0.5372608730862616,0.3116356584023154,0.5478244045287443,0.5757398050506645,0.20106356039503673
2026,2938,0.8679373723621511,0.5630630630630631,0.318603490965712,0.5691188543109957,0.5475982587273247,0.1786929884275017
