season,n,accuracy,kappa,macro_f1,mcc,rmse,mae
Winter,12011,0.8125052035634002,0.4993736055857708,0.3058665249007527,0.514156935184386,0.6491895000000634,0.2527682957289152
Spring,12404,0.8112705578845534,0.5490619619026473,0.32784261010922255,0.5620874705164184,0.6620013045189406,0.2600773943889068
Summer,10622,0.8705516851816983,0.5140873982279216,0.3011895152236223,0.5306513559932712,0.5645159121100298,0.1806627753718697
Autumn,10914,0.8293018141836174,0.48158993505233594,0.3040447713596078,0.5041945932114356,0.5834282233877071,0.216144401685908
