station_id,mean_pm,mean_no2,dominant_crisp_cat,n,accuracy,kappa,macro_f1,mcc,rmse,mae
8cff7d4d-a5be-4e74-93ff-e75437639604,18.98,30.23,Good,1979,0.9807983830217282,0.28946796549476084,0.25305769848923176,0.3396778384740779,0.17556664918835205,0.021728145528044467
ed81dc69-345a-479d-8b9b-e82db11b276e,21.54,44.56,Good,2085,0.9424460431654677,0.5458159519893697,0.30661688631168466,0.5517333677032976,0.3818420580739485,0.07865707434052757
a30101a6-349c-4f0d-b965-a68f2c6781e9,26.02,61.92,Good,2268,0.9246031746031746,0.6567623467689048,0.3274807832664596,0.6585590300408164,0.4093268875627818,0.10229276895943562
6b7a9840-1e13-4045-a79d-0f881c4852ad,28.4,43.65,Good,1601,0.924422236102436,0.44652566076872313,0.28559677492412916,0.49500708519219183,0.33155888306892234,0.08369768894440974
41f90c1f-570d-46cd-9beb-493d9162639a,32.31,44.09,Good,1245,0.9164658634538153,0.192042731629393,0.22835453774385073,0.2643425857375153,0.40972122954976975,0.10200803212851406
4c41948b-232e-472c-ada9-8f4d575c56ac,28.6,52.2,Good,2235,0.9118568232662192,0.533774962065179,0.30203931832197706,0.5390589041101728,0.4298691336160276,0.11230425055928411
179cd958-11aa-4e7a-8fa4-6eb2c852c2f6,31.24,67.56,Good,2233,0.8938647559337215,0.6031755196304851,0.3198385152504545,0.6078365399288099,0.48810297490036164,0.13882669055082847
b9709aaf-454d-4e41-af8c-ddc4302b1014,28.51,70.92,Good,2096,0.8697519083969466,0.6261217171763371,0.31878121673626464,0.6341021049444892,0.6323046420083783,0.21087786259541985
476aac30-cec4-4dc3-b180-fc1522d8a37c,32.98,46.46,Good,2276,0.8690685413005272,0.2689323632444085,0.24581215055570715,0.3402299078550685,0.49469949693438675,0.15597539543057998
914b525e-f275-41e1-b45b-118ada8f08c3,34.51,75.94,Good,2279,0.8516893374286968,0.6160915197961797,0.3204923817476853,0.6236860088975383,0.6217499966698266,0.2180781044317683
ecafeb15-905e-4257-a25a-72accf287e2a,33.68,66.63,Good,2071,0.8416224046354418,0.527970647913945,0.3013623978201635,0.5411196225695162,0.5863405733756448,0.20762916465475614
2054f684-6a42-438f-ae03-bb90445e71e6,34.37,63.62,Good,2044,0.8385518590998043,0.5213267619726856,0.29235392308093566,0.5387345658559736,0.6654016046712102,0.24217221135029354
6929a9ca-977d-4cb3-b1b5-26b95f4d4515,35.93,75.51,Good,2312,0.8382352941176471,0.5855043882881193,0.31436103782990044,0.590626900031037,0.6165957439187244,0.22880622837370243
377e1216-bcc7-42c0-aad8-4d5b3d602b78,35.63,57.55,Good,1906,0.8153200419727177,0.3952735011226315,0.2660952618246751,0.4269749163193159,0.6482683366526556,0.24501573976915006
06cf354f-c56f-4375-a6c5-bb3d5e7d649e,39.41,67.97,Good,2159,0.8105604446503011,0.46335799693097734,0.31325483236350904,0.49469582546853047,0.596034448211933,0.2329782306623437
870840e9-b4fb-43e2-b4fa-e62d59703c88,37.85,84.12,Good,2273,0.8081830180378354,0.606662652701667,0.3222948752287844,0.6198956265991826,0.7655126901877848,0.3123625164980202
30a7a252-f4ea-43f8-a8db-fdea5ca332d3,46.39,72.55,Good,2225,0.7896629213483146,0.49732248068676577,0.29497102305327216,0.5301496808748305,0.6534265774628634,0.2660674157303371
0f56c66b-4ef0-40f2-a2cb-fbfeca020a94,45.81,63.12,Good,2167,0.7775726811259807,0.3894318790290714,0.31165978482842027,0.44515798614992297,0.6368908093950109,0.26349792339640055
9e389c7a-45bd-440a-ba2f-db9c60c65a82,40.86,73.1,Good,2280,0.7771929824561403,0.50218126646695,0.2961167667045665,0.5254608454451205,0.6895205555247994,0.29210526315789476
cb4cd1c2-b55b-484f-ac7a-505369405d00,42.06,104.45,Good,2271,0.6895640686922061,0.4903095284331296,0.31318389446493805,0.5104293245774136,0.954259956809217,0.4949361514751211
2f8ab9f0-eb04-4d62-bf67-d165cb015035,57.75,55.3,Good,2081,0.6626621816434407,0.17093750798069318,0.2685337306607442,0.24416357069221614,0.7417656248379634,0.38395002402691014
08fa75a5-277b-4562-bf51-be549c9a25a2,79.16,96.88,Moderate,1865,0.5495978552278821,0.31391213292919595,0.3149047738820731,0.3432628600931278,0.9617343582670391,0.5892761394101876
